"attribute","value","url","name"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Class","Pauper","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Magicka","84","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Location","Ashlands Region (6,9)","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Level","12","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Training","Athletics (56)Long Blade (56)Block (52)","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Health","128","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Class","Scout","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Magicka","104","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Fight","90","https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan","Addarnat Assardidairan (addarnat assardidairan)"
"Location","Kaushtababi Camp","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"House","Adibael's Yurt","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Level","25","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Training","Athletics (100)Long Blade (72)Block (68)","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Health","297","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Class","Scout","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Magicka","136","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Fight","40","https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi","Adibael Hainnabibi (adibael hainnabibi)"
"Home City","Vivec","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Level","4","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Silt Strider
Destinations","BalmoraMolag MarSeyda NeenSuran","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Health","67","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Class","Caravaner","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Magicka","110","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Adondasi_Sadalvel","Adondasi Sadalvel (Adondasi Sadalvel)"
"Home City","Ald'ruhn","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Location","The Rat In the Pot","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Race","Wood Elf","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Level","16","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Training","Block (58)Long Blade (58)Medium Armor (58)","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Health","149","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Alarm","90","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Faction(s)","Thieves Guild 8(Mastermind)","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Class","Scout","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Magicka","112","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Aengoth_the_Jeweler","Aengoth the Jeweler (aengoth)"
"Home City","Ebonheart","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Store","Six Fishes","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Race","Nord","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Level","10","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Rents Bed","10 gold","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Gold","150","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Buys","Ingredients
 Potions","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Ingredients
 Potions","","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Health","97","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Alarm","100","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Class","Publican","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Mercantile","Apprentice (20)","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Magicka","108","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Agning","Agning (Agning)"
"Home Town","Erabenimsun Camp","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"House","Ashkhan's Yurt","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Level","12","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Health","119","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Alarm","90","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Faction(s)","Ashlanders Clanholder(Clanholder)","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Class","Champion","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Magicka","98","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Fight","50","https://en.uesp.net/wiki/Morrowind:Ahaz","Ahaz (ahaz)"
"Location","West Gash Region (-7,17)","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Level","8","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Training","Athletics (50)Long Blade (50)Block (46)","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Health","98","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Class","Scout","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Magicka","96","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Fight","90","https://en.uesp.net/wiki/Morrowind:Ainat_Maessabibi","Ainat Maessabibi (ainat maessabibi)"
"Home Town","Seyda Neen","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Location","Arrille's Tradehouse","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Race","Imperial","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Level","6","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Health","68","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Alarm","90","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Class","Battlemage","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Magicka","122","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Albecius_Colollius","Albecius Colollius (albecius colollius)"
"Location","Buckmoth Legion Fort","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Race","High Elf","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Level","13","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Spells","","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Health","97","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Alarm","100","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Faction(s)","Imperial Legion Champion(Champion)","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Class","Battlemage Service","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Magicka","172","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Aldaril","Aldaril (aldaril)"
"Home Town","Maar Gan","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Store","Maar Gan Outpost","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Level","16","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Other","Repairs","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Gold","1400","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Buys","Armor
 Weapons


 Repair Tools","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Armor
 Weapons","Repair Tools","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Health","173","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Alarm","100","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Faction(s)","House Redoran Kinsman(Kinsman)","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Class","Smith","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Mercantile","Novice (10)","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Magicka","104","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Alds_Baro","Alds Baro (alds baro)"
"Location","Falensarano, Upper Level","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Race","Nord","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Level","25","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Training","Axe (100)Blunt Weapon (78)Medium Armor (78)","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Health","244","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Class","Barbarian","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Magicka","100","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Alfhedil_Elf-Hewer","Alfhedil Elf-Hewer (alfhedil elf-hewer)"
"Home City","Ald'ruhn","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Store","The Rat In the Pot","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Race","Nord","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Level","7","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Gold","300","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Buys","Armor
 Clothing
 Weapons
 Ingredients
 Potions


 Thieves Tools
 Lights
 Repair Tools
 Misc. Items
 Magic Items","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Armor
 Clothing
 Weapons
 Ingredients
 Potions","Thieves Tools
 Lights
 Repair Tools
 Misc. Items
 Magic Items","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Health","81","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Alarm","100","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Faction(s)","Thieves Guild 1(Wet Ear)","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Class","Pawnbroker","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Mercantile","Novice (10)","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Magicka","100","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Allding","Allding (allding)"
"Location","Gnisis Barracks","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Race","Imperial","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Level","5","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Health","84","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Alarm","100","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Faction(s)","Imperial Legion 1(Spearman)","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Class","Warrior","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Magicka","86","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Allian_Carbo","Allian Carbo (allian carbo)"
"Home City","Ebonheart","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Location","Hawkmoth Legion Garrison","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Race","Breton","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Level","19","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Health","200","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Faction(s)","Imperial Legion Knight Bachelor(Knight Bachelor)","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Class","Warrior","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Magicka","128","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Alodie_Jes","Alodie Jes (Alodie Jes)"
"Location","Ascadian Isles Region [2,-5]","https://en.uesp.net/wiki/Morrowind:Alof_the_Easterner","Alof the Easterner (alof the easterner)"
